Year/Publisher,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Nintendo,49.95,16.18,11.95,36.44,63.88,35.49,15.97,38.11,20.04,24.99,16.72,73.7,25.8,48.41,65.33,34.05,45.37,48.31,38.14,60.65,127.47,205.61,104.18,91.22,128.89,61.07,51.53,56.47,52.79,48.65,27.08,,,
Namco Bandai Games,1.46,5.28,2.67,0.76,1.1,0,,,5.38,,,,,,,,,,,,,,,,,,,,,,,6.49,,
Hudson Soft,1.03,4.66,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capcom,1,5.3,2.94,2.94,1.67,3.92,2.23,12.4,4.85,,,,,,,,,,,,,,,,,,,,,,,,,
Activision,0.48,0,1.12,0,,0,,,,,4.21,,,,,,,25.94,21.38,39.23,35.39,,63.57,67.41,78.06,63.39,51.74,53.25,43.49,44.48,35.63,3.67,,
Konami Digital Entertainment,0,4.99,0.93,0,0,2.23,2.56,,,,,,,15.39,15.26,,,,,,,,,,,,,,,,,,,
Enix Corporation,0,0,2.56,3.87,0,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palcom,0,0,0,0,4.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sega,0,0,0,0,0,2.6,4.34,7.98,,7.53,7.93,,,,,,,,,,,,,,,,,,,,,,,
SquareSoft,0,0,0,0,1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acclaim Entertainment,0,0,0,0,0,0,0,0,1.93,5.74,,,,13.71,,,,,,,,,,,,,,,,,,,,
Arena Entertainment,,,,,,,,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Computer Entertainment,,,,,,,,,,,18.45,35.07,43.9,34.64,36.24,21.69,43.29,25.85,24.32,35.16,26.38,33.81,37.54,,36.53,,27.4,,,,,6.56,,
Square,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
SquareSoft,,,,,,,,3.42,3,3.74,5.1,,6.68,,13.52,,,,,,,,,,,,,,,,,,,
Virgin Interactive,,,,,,,,,,6.81,,14.83,,,,,,,,,,,,,,,,,,,,,,
Activision,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,
Eidos Interactive,,,,,,,,,,,,5.89,13.55,,,,,,,,,,,,,,,,,,,,,
Electronic Arts,,,,,,,,,,,,7.9,22.94,29.95,20.15,25.13,45.12,73.01,69.83,67.33,67.01,58.41,71.33,84.12,86.2,81.38,72.25,49.9,52.92,46.8,45.42,12.25,,
THQ,,,,,,,,,,,,,,,,15.86,22.25,26.88,29.38,28.69,,24.94,,,,,,,,,,,,
Bethesda Softworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.44,,,
Konami Digital Entertainment,,,,,,,,,,,,,,,,,21.89,,,,,,,,,,,,,,,,,
Microsoft Game Studios,,,,,,,,,,,,,,,,,,,,,,,,,,49.16,,,,,,,,
Take-Two Interactive,,,,,,,,,,,,,,,,,,,,,26.29,20.59,,46.18,,,,21.58,52.41,30.26,,,,
Ubisoft,,,,,,,,,,,,,,,,,,,,,,,48.6,57.44,47.01,42.62,48.03,37.31,27.39,41.95,,9.76,,
Warner Bros. Interactive Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.74,,,
